name,eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,max_quiescence,adaptive_var_iter,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
v2pop40-10num_40iter_0000,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,40,10,4,40,0.6,0.001,0.04,0.1,0.3,MIXED,MIXED,20,0.5,288.6333333333334,303.3,500.76666666666665,280.6333333333334,297.90000000000003,383.3999999999999,483.3333333333333,522.0,885.6666666666666,541.3333333333334,597.0,1233.0,267.0,279.0,458.0,251.66666666666666,264.6666666666667,289.0,41.08783745765686,102.0084973971049,172.76700973510742,95.13633640607198,222.66011142730713,375.18121790885925
v2pop40-10num_40iter_0001,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,40,10,4,40,0.6,0.001,0.04,0.1,0.3,MIXED,MIXED,20,0.75,288.6333333333334,301.43333333333334,505.3666666666666,280.59999999999997,296.1333333333333,387.9666666666667,483.3333333333333,521.3333333333334,898.6666666666666,541.0,609.3333333333334,1221.6666666666667,267.0,277.0,461.6666666666667,251.66666666666666,261.3333333333333,295.3333333333333,39.259657859802246,88.33101375897725,180.08467960357666,85.44196073214214,175.87760869661966,343.53462529182434
v2pop40-10num_40iter_0002,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,40,10,6,40,0.6,0.001,0.04,0.1,0.3,MIXED,MIXED,20,0.5,288.6333333333334,300.96666666666664,481.6333333333334,280.59999999999997,299.43333333333334,379.3333333333333,483.3333333333333,534.6666666666666,835.3333333333334,541.0,660.3333333333334,1213.3333333333333,267.0,275.0,442.3333333333333,251.66666666666666,259.3333333333333,286.6666666666667,40.52545499801636,95.61533427238464,176.2715131441752,92.43372933069865,189.50231186548868,362.62140107154846
v2pop40-10num_40iter_0003,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,40,10,6,40,0.6,0.001,0.04,0.1,0.3,MIXED,MIXED,20,0.75,288.6333333333334,307.8,503.5,280.59999999999997,297.76666666666665,388.63333333333327,483.3333333333333,537.0,907.0,541.0,613.6666666666666,1255.3333333333333,267.0,282.3333333333333,458.6666666666667,251.66666666666666,262.6666666666667,292.3333333333333,40.57754413286845,86.0878513654073,177.35373655954996,80.49911348025005,173.58770306905112,368.8029118378957
v2pop40-10num_40iter_0004,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,40,10,8,40,0.6,0.001,0.04,0.1,0.3,MIXED,MIXED,20,0.5,288.6333333333334,303.46666666666664,486.5666666666666,280.59999999999997,300.0,394.5666666666666,483.3333333333333,523.6666666666666,866.6666666666666,541.0,687.0,1335.6666666666667,267.0,279.0,444.3333333333333,251.66666666666666,257.0,290.0,50.27992113431295,88.50512647628784,172.8738394578298,95.44226328531902,189.00170755386353,366.51651334762573
v2pop40-10num_40iter_0005,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,40,10,8,40,0.6,0.001,0.04,0.1,0.3,MIXED,MIXED,20,0.75,288.6333333333334,305.06666666666666,465.90000000000003,280.63333333333327,295.0333333333333,399.7333333333333,483.3333333333333,524.6666666666666,831.0,541.3333333333334,649.3333333333334,1309.3333333333333,267.0,280.6666666666667,425.3333333333333,251.66666666666666,255.66666666666666,298.6666666666667,54.567333459854126,116.57376074790955,220.855499347051,111.54790608088176,236.2520051797231,447.7202162742615
v2pop40-10num_40iter_0006,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,40,10,10,40,0.6,0.001,0.04,0.1,0.3,MIXED,MIXED,20,0.5,288.6333333333334,301.2666666666667,477.90000000000003,280.59999999999997,298.4666666666667,383.0,483.3333333333333,519.6666666666666,852.0,541.0,671.6666666666666,1226.0,267.0,277.0,436.3333333333333,251.66666666666666,257.0,289.3333333333333,52.5428192615509,106.90528694788615,221.78411062558493,106.04067222277324,247.08867605527243,446.5454038778941
v2pop40-10num_40iter_0007,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,40,10,10,40,0.6,0.001,0.04,0.1,0.3,MIXED,MIXED,20,0.75,288.6333333333334,299.5333333333333,488.56666666666666,280.59999999999997,299.7,392.5666666666666,483.3333333333333,520.3333333333334,877.6666666666666,541.0,630.0,1318.6666666666667,267.0,275.0,445.3333333333333,251.66666666666666,263.0,289.6666666666667,43.52090994517008,108.02782940864563,206.95929153760275,90.31324656804402,240.88140455881754,398.8781056404114
