name,eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,max_quiescence,adaptive_var_iter,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
pop160-40num_0000,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,160,40,2,20,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,10,288.6333333333334,302.1333333333333,483.5333333333333,280.59999999999997,299.43333333333334,391.8666666666666,483.3333333333333,543.3333333333334,860.3333333333334,541.0,663.3333333333334,1287.6666666666667,267.0,275.3333333333333,441.6666666666667,251.66666666666666,259.0,292.3333333333333,137.4863760471344,200.23209047317505,387.2818790276845,251.83187087376913,436.482918659846,790.4148386319479
pop160-40num_0001,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,160,40,4,20,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,10,288.6333333333334,299.8333333333333,467.0333333333333,280.59999999999997,296.49999999999994,383.5333333333333,483.3333333333333,532.3333333333334,845.3333333333334,541.0,664.0,1279.3333333333333,267.0,274.0,425.0,251.66666666666666,255.66666666666666,284.0,138.3295969168345,200.55545830726624,376.8189546267192,254.28953250249228,414.83557319641113,766.0502602259318
pop160-40num_0002,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,160,40,8,20,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,10,288.6333333333334,299.93333333333334,470.73333333333335,280.59999999999997,298.0,379.76666666666665,483.3333333333333,533.3333333333334,849.3333333333334,541.0,649.0,1229.6666666666667,267.0,274.0,428.6666666666667,251.66666666666666,259.0,285.3333333333333,138.37638036410013,204.01916774113974,382.88658769925433,254.0187431971232,410.139506260554,758.7289113203684
pop160-40num_0003,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,160,40,16,20,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,10,288.6333333333334,299.1666666666667,480.29999999999995,280.59999999999997,295.8666666666667,385.7333333333333,483.3333333333333,531.6666666666666,858.0,541.0,660.6666666666666,1289.3333333333333,267.0,273.3333333333333,438.3333333333333,251.66666666666666,255.33333333333334,285.3333333333333,139.8331034978231,198.8406798839569,375.53822644551593,252.24107066790262,412.97342348098755,760.237353960673
