eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
0,0.999,0.2,1,True,True,True,20,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,292.6666666666667,338.6666666666667,641.8333333333334,,,,472.6666666666667,602.6666666666666,1150.3333333333333,,,,272.6666666666667,309.3333333333333,585.3333333333334,,,,17.457496960957844,21.57174078623454,50.14575465520223,,,
0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,288.6666666666667,309.6333333333334,609.3,,,,483.6666666666667,558.3333333333334,1086.0,,,,267.0,282.0,556.3333333333334,,,,11.759222030639648,26.927136341730755,48.74251500765482,,,
0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,288.6333333333334,313.6666666666667,514.6333333333333,,,,483.3333333333333,556.6666666666666,913.3333333333334,,,,267.0,286.6666666666667,470.3333333333333,,,,8.303793907165527,27.092281659444172,43.417411963144936,,,
0,0.999,0.2,1,True,True,False,20,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,289.8,323.2333333333333,571.3,,,,468.0,583.3333333333334,1027.0,,,,270.0,294.3333333333333,520.6666666666666,,,,9.032802820205688,16.376503944396973,31.31614335378011,,,
0,0.999,0.2,1,True,True,False,50,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,285.1333333333334,343.53333333333336,577.6666666666666,,,,478.3333333333333,615.3333333333334,1039.6666666666667,,,,263.6666666666667,313.3333333333333,526.3333333333334,,,,8.44851024945577,12.986084381739298,29.931687831878662,,,
0,0.999,0.2,1,True,True,False,10000,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,287.3,327.76666666666665,572.8333333333334,,,,482.0,565.6666666666666,1021.3333333333334,,,,265.6666666666667,301.3333333333333,523.0,,,,14.141519149144491,16.130096753438313,37.97549279530843,,,
0,0.999,0.2,1,True,False,True,20,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,285.6,348.9666666666667,706.6333333333332,,,,477.0,594.6666666666666,1276.3333333333333,,,,264.3333333333333,321.6666666666667,643.3333333333334,,,,12.007351398468018,37.945478677749634,69.53403242429097,,,
0,0.999,0.2,1,True,False,True,50,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,285.06666666666666,338.96666666666664,659.2666666666665,,,,477.6666666666667,596.6666666666666,1183.6666666666667,,,,263.6666666666667,310.3333333333333,601.0,,,,8.76419178644816,19.8855984210968,39.50455697377523,,,
0,0.999,0.2,1,True,False,True,10000,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,288.3333333333333,318.93333333333334,757.6333333333333,,,,480.3333333333333,561.3333333333334,1351.3333333333333,,,,267.0,292.0,691.6666666666666,,,,9.01449728012085,20.175307114919026,38.99304882685343,,,
0,0.999,0.2,1,True,False,False,20,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,294.46666666666664,378.8,694.5333333333333,,,,436.6666666666667,683.0,1254.3333333333333,,,,278.6666666666667,345.0,632.3333333333334,,,,8.45044986406962,18.856264511744182,37.13354706764221,,,
0,0.999,0.2,1,True,False,False,50,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,284.8333333333333,313.40000000000003,685.1666666666666,,,,478.3333333333333,557.0,1226.6666666666667,,,,263.3333333333333,286.3333333333333,625.0,,,,6.715181589126587,17.34289010365804,28.534990628560383,,,
0,0.999,0.2,1,True,False,False,10000,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,288.3333333333333,332.8666666666666,718.4333333333334,,,,480.3333333333333,583.6666666666666,1292.3333333333333,,,,267.0,305.0,654.6666666666666,,,,9.59437902768453,17.646835883458454,34.01713387171427,,,
0,0.999,0.2,1,False,True,True,20,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,290.0333333333333,407.6000000000001,821.2333333333332,,,,485.3333333333333,662.0,1477.3333333333333,,,,268.3333333333333,379.3333333333333,748.3333333333334,,,,10.007577896118164,18.361987113952637,38.86966896057129,,,
0,0.999,0.2,1,False,True,True,50,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,293.8333333333333,347.6666666666667,764.3000000000001,,,,490.3333333333333,590.6666666666666,1364.0,,,,272.0,320.6666666666667,697.6666666666666,,,,10.766355752944946,19.338523705800373,36.918813149134316,,,
