name,eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,max_quiescence,adaptive_var_iter,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
pop20-5num_0000,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,20,5,2,20,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,10,288.6333333333334,309.23333333333335,560.6333333333333,280.9666666666667,308.09999999999997,412.7,483.3333333333333,536.3333333333334,1010.3333333333334,550.6666666666666,753.0,1403.0,267.0,284.0,510.6666666666667,251.0,258.6666666666667,302.6666666666667,250.14287114143372,45.382250229517616,127.68148056666057,84.2080430984497,115.94674181938171,249.92094922065735
pop20-5num_0001,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,20,5,4,20,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,10,288.6333333333334,315.6666666666667,550.4,281.0,313.96666666666664,403.59999999999997,483.3333333333333,537.6666666666666,980.0,551.0,772.6666666666666,1360.0,267.0,291.0,502.6666666666667,251.0,263.0,297.3333333333333,45.73532509803772,64.91725778579712,121.10351792971294,83.82361729939778,272.47814679145813,485.15926059087116
,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,20,5,8,20,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,10,,,,,,,,,,,,,,,,,,,,,,,,
,0,0.999,0.2,1,True,True,True,100000,0.9,3000.0,20,5,16,20,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,10,,,,,,,,,,,,,,,,,,,,,,,,
