eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,20,10,2,20,0.6,0.05,0.05,0.1,0.3,MIXED,RESET,288.9666666666667,314.6,556.3000000000001,281.23333333333335,326.3666666666666,431.1666666666667,483.6666666666667,548.0,997.0,553.3333333333334,878.6666666666666,1464.6666666666667,267.3333333333333,288.6666666666667,507.3333333333333,251.0,265.0,316.3333333333333,7.981580416361491,11.994995514551798,24.016773064931233,13.14919368426005,27.481345971425373,43.05322058995565
0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,20,10,2,20,0.6,0.05,0.1,0.1,0.3,MIXED,RESET,289.3333333333333,317.13333333333327,583.1666666666666,282.43333333333334,313.99999999999994,422.59999999999997,484.3333333333333,549.3333333333334,1019.6666666666666,565.3333333333334,767.0,1409.0,267.6666666666667,291.3333333333333,534.6666666666666,251.0,263.6666666666667,313.0,5.2574741045633955,11.979205767313639,19.297092358271282,11.335694789886475,24.869786818822224,43.38722586631775
0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,RESET,289.0,316.43333333333334,594.1999999999999,280.6666666666667,316.5333333333333,408.3333333333333,484.0,560.3333333333334,1058.0,541.6666666666666,798.3333333333334,1371.3333333333333,267.3333333333333,289.3333333333333,542.6666666666666,251.66666666666666,263.0,301.3333333333333,5.455653746922811,12.42762025197347,23.45229943593343,16.431825319925945,21.756546179453533,50.658364137013756
0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,20,10,2,20,0.6,0.1,0.1,0.1,0.3,MIXED,RESET,288.6666666666667,316.13333333333327,548.2333333333332,281.43333333333334,317.43333333333334,412.9666666666667,483.6666666666667,560.3333333333334,982.3333333333334,555.3333333333334,855.3333333333334,1399.6666666666667,267.0,289.0,500.0,251.0,257.6666666666667,303.3333333333333,5.261865059534709,10.796490589777628,22.347811539967854,9.635951201121012,25.331401109695435,46.093910932540894
0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,20,10,2,20,0.6,0.5,0.05,0.1,0.3,MIXED,RESET,289.0333333333333,318.06666666666666,520.0333333333333,281.2,319.8333333333333,425.8666666666666,484.3333333333333,564.6666666666666,928.3333333333334,553.0,810.3333333333334,1423.6666666666667,267.3333333333333,290.6666666666667,474.6666666666667,251.0,265.3333333333333,315.0,5.395281791687012,12.38742438952128,25.194354852040608,13.026901006698608,27.158887942632038,51.771047274271645
0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,20,10,2,20,0.6,0.5,0.1,0.1,0.3,MIXED,RESET,288.6666666666667,316.5333333333333,596.5666666666667,281.09999999999997,320.5,433.99999999999994,483.6666666666667,570.3333333333334,1063.6666666666667,552.0,829.0,1466.0,267.0,288.3333333333333,544.6666666666666,251.0,264.0,319.3333333333333,7.6738646030426025,12.135968367258707,19.90952452023824,14.81283966700236,25.444063186645508,37.44270300865173
0,0.999,0.2,1,True,True,False,10000,0.9,3000.0,20,10,2,20,0.6,0.05,0.05,0.1,0.3,MIXED,RESET,285.1666666666667,320.93333333333334,626.0333333333333,281.5333333333333,333.09999999999997,452.26666666666665,478.6666666666667,557.3333333333334,1124.3333333333333,550.3333333333334,1024.0,1522.6666666666667,263.6666666666667,294.6666666666667,570.6666666666666,251.66666666666666,256.3333333333333,333.3333333333333,4.906491915384929,10.117655913035074,17.41642912228902,17.54927897453308,25.589802106221516,40.5276628335317
0,0.999,0.2,1,True,True,False,10000,0.9,3000.0,20,10,2,20,0.6,0.05,0.1,0.1,0.3,MIXED,RESET,288.4666666666667,321.09999999999997,629.2666666666665,281.06666666666666,315.63333333333327,477.96666666666664,466.6666666666667,568.0,1099.6666666666667,575.6666666666666,777.3333333333334,1611.6666666666667,268.6666666666667,293.6666666666667,577.0,248.33333333333334,264.3333333333333,352.0,5.408070802688599,12.669384320576986,19.677286942799885,12.833864291508993,23.881532828013103,36.048696994781494
0,0.999,0.2,1,True,True,False,10000,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,RESET,291.2,320.23333333333335,570.9,284.0,325.1333333333334,434.5,491.0,571.3333333333334,1023.0,575.0,863.3333333333334,1519.0,269.0,292.3333333333333,520.6666666666666,251.66666666666666,265.3333333333333,314.0,7.292375644048055,11.723558823267618,23.36996801694234,16.749314546585083,27.684346596399944,45.548578103383385
0,0.999,0.2,1,True,True,False,10000,0.9,3000.0,20,10,2,20,0.6,0.1,0.1,0.1,0.3,MIXED,RESET,292.76666666666665,323.76666666666665,616.2666666666667,292.93333333333334,346.76666666666665,440.63333333333327,470.6666666666667,564.6666666666666,1101.6666666666667,559.3333333333334,1118.6666666666667,1529.3333333333333,273.0,297.0,562.3333333333334,263.3333333333333,261.0,319.6666666666667,4.829274813334147,10.032795429229736,22.488061507542927,15.8640349706014,25.861165444056194,41.1438954671224
