name,eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,max_quiescence,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
kTest2.1_0010,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.1,0.1,0.05,0.1,0.3,MIXED,MIXED,5,298.3,390.9666666666667,840.4666666666666,289.0333333333333,393.09999999999997,884.0,439.0,687.6666666666666,1513.6666666666667,580.3333333333334,859.0,2369.0,282.6666666666667,358.0,765.6666666666666,256.6666666666667,341.3333333333333,719.0,15.194603045781454,28.935950756072998,56.710448026657104,31.95745547612508,55.429042180379234,125.93683163324992
kTest2.1_0011,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.1,0.1,0.05,0.1,0.3,MIXED,MIXED,8,306.0,370.13333333333327,751.6999999999999,297.43333333333334,463.40000000000003,862.2333333333332,369.0,662.3333333333334,1340.0,535.3333333333334,1277.0,2517.3333333333335,299.0,337.6666666666667,686.3333333333334,271.0,373.0,678.3333333333334,14.17876935005188,27.508463223775227,54.80899945894877,34.01450490951538,63.257811307907104,123.80298765500386
kTest2.1_0012,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.3,0.1,0.02,0.1,0.3,MIXED,MIXED,3,290.0333333333333,386.8,824.8666666666667,291.8999999999999,421.43333333333334,888.5666666666666,485.3333333333333,691.0,1471.6666666666667,570.0,1019.3333333333334,2264.6666666666665,268.3333333333333,353.0,753.0,261.0,355.0,735.6666666666666,12.32441528638204,23.971640189488728,43.17702968915304,28.0405588944753,53.85118921597799,103.22611355781555
kTest2.1_0013,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.3,0.1,0.02,0.1,0.3,MIXED,MIXED,5,303.23333333333335,363.3,792.5666666666666,290.73333333333335,376.5666666666666,852.6999999999999,395.3333333333333,636.0,1409.6666666666667,504.3333333333333,999.6666666666666,2635.0,293.0,333.0,724.0,267.0,307.3333333333333,654.6666666666666,14.371361017227173,27.232496579488117,53.94395208358765,26.388638655344646,52.64890178044637,115.54349652926128
kTest2.1_0014,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.3,0.1,0.02,0.1,0.3,MIXED,MIXED,8,299.2,378.5666666666666,827.6999999999999,289.53333333333336,425.93333333333334,841.6,442.0,665.6666666666666,1494.0,513.3333333333334,1142.3333333333333,1912.0,283.3333333333333,346.6666666666667,753.6666666666666,264.6666666666667,346.3333333333333,722.6666666666666,16.0310161113739,28.097079515457153,55.39747802416483,31.106855074564617,57.42341939608256,105.51278463999431
kTest2.1_0015,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.3,0.1,0.03,0.1,0.3,MIXED,MIXED,3,295.23333333333335,390.90000000000003,898.5333333333333,286.8333333333333,398.8333333333333,837.6,444.3333333333333,675.0,1587.3333333333333,591.3333333333334,952.3333333333334,2421.0,278.6666666666667,359.3333333333333,822.0,253.0,337.3333333333333,661.6666666666666,11.298308690388998,28.56086802482605,39.23928475379944,23.507796208063763,48.98546632130941,107.75814787546794
kTest2.1_0016,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.3,0.1,0.03,0.1,0.3,MIXED,MIXED,5,292.43333333333334,364.2,761.9333333333333,291.09999999999997,377.7,896.4666666666667,467.3333333333333,573.0,1364.3333333333333,514.0,849.0,2202.6666666666665,273.0,341.0,695.0,266.3333333333333,325.3333333333333,751.3333333333334,16.455029726028442,26.852158387502033,53.43505644798279,31.555639187494915,55.740978479385376,110.43813578287761
kTest2.1_0017,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.3,0.1,0.03,0.1,0.3,MIXED,MIXED,8,309.56666666666666,388.3333333333333,826.4,290.6333333333334,400.29999999999995,829.8666666666667,419.6666666666667,670.3333333333334,1442.0,491.3333333333333,1066.0,2265.6666666666665,297.3333333333333,357.0,758.0,268.3333333333333,326.3333333333333,670.3333333333334,15.36151647567749,27.59208083152771,56.12622014681498,29.623230775197346,56.693978706995644,110.33690587679546
kTest2.1_0018,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.3,0.1,0.04,0.1,0.3,MIXED,MIXED,3,310.0,377.96666666666664,858.3666666666667,289.76666666666665,405.2,800.9333333333334,490.0,662.6666666666666,1530.6666666666667,566.6666666666666,944.0,2225.3333333333335,290.0,346.3333333333333,783.6666666666666,259.0,345.3333333333333,642.6666666666666,7.688270250956218,22.903576056162517,38.420987606048584,24.82568581899007,51.485288302103676,114.84465289115906
kTest2.1_0019,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.3,0.1,0.04,0.1,0.3,MIXED,MIXED,5,299.09999999999997,389.3333333333333,809.9666666666667,295.96666666666664,347.59999999999997,825.7666666666668,414.0,662.3333333333334,1448.6666666666667,553.6666666666666,809.0,2308.6666666666665,286.3333333333333,359.0,739.0,267.3333333333333,296.3333333333333,661.0,12.589996337890625,25.95181981722514,54.06882913907369,29.82101384798686,49.89113974571228,109.48107345898946
