name,eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,max_quiescence,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
popsize_0010,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,3,5,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,349.8,500.73333333333335,1044.8999999999999,363.2,759.8666666666667,1275.0333333333333,594.0,885.3333333333334,1824.0,725.0,2534.6666666666665,3570.3333333333335,322.6666666666667,458.0,958.3333333333334,323.0,562.6666666666666,1020.0,0.6955429712931315,1.0413065751393635,1.8958268960316975,1.4140178362528484,2.681225856145223,4.594619433085124
popsize_0011,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,3,5,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,8,324.1333333333334,584.2666666666667,1075.6666666666667,390.2,787.9,1218.1333333333332,388.3333333333333,946.6666666666666,1873.6666666666667,809.0,2569.0,3592.3333333333335,317.0,544.0,987.0,343.6666666666667,590.0,954.3333333333334,0.6330675284067789,1.0577022234598796,1.971397876739502,1.536513328552246,2.8386284510294595,4.555175224939982
popsize_0012,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,3,10,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,3,329.23333333333335,537.3000000000001,970.4,440.3333333333333,659.2333333333332,1129.4333333333332,550.3333333333334,933.0,1745.0,1220.3333333333333,1831.3333333333333,3017.3333333333335,304.6666666666667,493.3333333333333,884.3333333333334,353.6666666666667,529.0,919.6666666666666,1.019964377085368,2.103726625442505,3.7762999534606934,3.1563900311787925,4.872833887736003,7.809795459111531
popsize_0013,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,3,10,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,319.1666666666667,559.4666666666667,1052.9333333333334,383.5,664.0333333333334,1218.1666666666667,542.6666666666666,980.6666666666666,1781.3333333333333,916.0,1900.3333333333333,3103.6666666666665,294.3333333333333,512.6666666666666,972.0,324.3333333333333,526.6666666666666,1008.6666666666666,1.2394018173217773,2.040117343266805,3.897652546564738,2.80908195177714,4.702123721440633,8.618124961853027
popsize_0014,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,3,10,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,8,349.3,510.09999999999997,1016.6999999999999,379.46666666666664,591.1666666666666,1326.7333333333333,478.0,889.0,1671.0,887.6666666666666,1558.6666666666667,4171.333333333333,335.0,468.0,944.0,323.0,483.6666666666667,1010.6666666666666,1.2539574305216472,1.9635976950327556,3.6527907053629556,2.817807594935099,4.534237225850423,9.006882985432943
popsize_0015,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,3,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,3,319.56666666666666,451.76666666666665,1027.1000000000001,345.26666666666665,600.1,1229.0666666666666,408.6666666666667,785.6666666666666,1757.0,668.6666666666666,1618.0,3899.6666666666665,309.6666666666667,414.6666666666667,946.0,309.3333333333333,487.0,932.3333333333334,1.603877067565918,3.1578391393025718,4.069228490193685,4.350896120071411,7.074034134546916,17.849570671717327
popsize_0016,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,3,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,325.70000000000005,520.8666666666667,995.0333333333334,329.06666666666666,607.1333333333333,1125.4333333333334,491.0,852.6666666666666,1727.3333333333333,566.6666666666666,1496.3333333333333,3343.3333333333335,307.3333333333333,484.0,913.6666666666666,302.6666666666667,508.3333333333333,879.0,2.388972202936808,4.122967163721721,7.320993979771932,4.7018468379974365,8.617346207300821,16.31462065378825
popsize_0017,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,3,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,8,312.2,503.8333333333333,944.7333333333332,352.5333333333333,519.9999999999999,1096.2333333333333,455.0,838.3333333333334,1602.3333333333333,630.3333333333334,1057.0,2991.3333333333335,296.3333333333333,466.6666666666667,871.6666666666666,321.6666666666667,460.3333333333333,885.6666666666666,2.0905636151631675,3.736522833506266,7.033578077952067,4.535963932673137,7.617550055185954,15.779772281646729
popsize_0018,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,4,5,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,3,363.9333333333334,569.4,1114.0666666666666,441.96666666666664,731.9,1353.4666666666665,588.3333333333334,972.0,1921.6666666666667,1026.6666666666667,1976.0,4228.666666666667,339.0,524.6666666666666,1024.3333333333333,377.0,593.6666666666666,1034.0,0.695643424987793,1.165781577428182,2.034641981124878,1.5952407519022624,2.7289050420125327,4.685600121815999
popsize_0019,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,4,5,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,345.1333333333334,527.6999999999999,1077.5666666666666,518.6999999999999,748.1,1259.8999999999999,550.3333333333334,882.0,1901.6666666666667,1626.0,2432.0,4130.0,322.3333333333333,488.3333333333333,986.0,395.6666666666667,561.0,941.0,0.6435598532358805,1.0717968146006267,1.94638196627299,1.7683629194895427,2.785161256790161,4.6519254843393965
