name,eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,max_quiescence,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
commrange_0010,0,0.999,0.2,1,True,True,False,20,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,288.93333333333334,336.03333333333336,642.3,289.5333333333333,337.8666666666666,474.56666666666666,477.3333333333333,594.3333333333334,1146.0,540.3333333333334,852.6666666666666,1646.6666666666667,268.0,307.3333333333333,586.3333333333334,261.6666666666667,280.6666666666667,344.3333333333333,8.844407478968302,15.825856765111288,29.945061842600506,21.46039581298828,33.90500919024149,57.80280598004659
commrange_0011,0,0.999,0.2,1,True,True,False,30,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,285.2333333333333,340.56666666666666,572.5999999999999,281.3333333333333,323.93333333333334,456.3999999999999,479.3333333333333,609.6666666666666,1016.0,569.3333333333334,875.3333333333334,1552.0,263.6666666666667,310.6666666666667,523.3333333333334,249.33333333333334,262.6666666666667,334.6666666666667,8.755627393722534,15.071036259333292,28.92644174893697,21.48233739535014,32.898187478383385,54.05695923169454
commrange_0012,0,0.999,0.2,1,True,True,False,40,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,288.2,309.1666666666667,604.1333333333333,277.7,312.86666666666673,449.06666666666666,494.0,553.6666666666666,1091.3333333333333,572.0,797.6666666666666,1466.6666666666667,265.3333333333333,282.0,550.0,245.0,259.0,336.0,7.130350669225057,15.008829037348429,28.388903776804607,18.65672246615092,30.87589430809021,52.203921715418495
commrange_0013,0,0.999,0.2,1,True,True,False,50,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,285.1333333333334,330.26666666666665,576.6,277.6666666666667,317.43333333333334,433.5333333333333,478.3333333333333,596.6666666666666,1032.0,556.6666666666666,792.3333333333334,1488.3333333333333,263.6666666666667,300.6666666666667,526.0,246.66666666666666,264.6666666666667,316.3333333333333,8.371643304824829,15.268112977345785,28.22743304570516,21.46145574251811,30.51396671930949,53.581249396006264
commrange_0014,0,0.999,0.2,1,True,True,False,75,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,286.3,316.6333333333333,559.5333333333333,280.79999999999995,322.0,433.1666666666667,463.0,559.3333333333334,1008.3333333333334,543.0,850.0,1409.6666666666667,266.6666666666667,289.6666666666667,509.6666666666667,251.66666666666666,263.3333333333333,324.6666666666667,4.988460699717204,12.4649498462677,27.77475388844808,21.109853982925415,32.25998838742574,53.01487414042155
commrange_0015,0,0.999,0.2,1,True,True,False,10000,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,285.1333333333334,312.3666666666667,566.8666666666667,281.5333333333333,314.26666666666665,422.43333333333334,478.3333333333333,561.6666666666666,1015.6666666666666,556.3333333333334,769.6666666666666,1440.3333333333333,263.6666666666667,284.6666666666667,517.0,251.0,263.6666666666667,309.3333333333333,9.179590145746866,12.854034264882406,28.478553692499798,19.36926245689392,30.417304754257202,51.642667055130005
commrange_0016,0,0.999,0.2,1,True,False,True,5,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,294.3666666666667,339.76666666666665,713.2666666666668,282.46666666666664,389.9666666666667,832.3000000000001,504.6666666666667,607.6666666666666,1252.6666666666667,538.6666666666666,977.6666666666666,2398.0,271.0,310.0,653.3333333333334,254.0,324.6666666666667,658.3333333333334,10.849389473597208,19.90433446566264,38.11711144447327,26.321082989374798,50.747085412343345,118.5024749437968
commrange_0017,0,0.999,0.2,1,True,False,True,10,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,286.73333333333335,375.7,738.5333333333333,283.3,387.1666666666667,688.9333333333333,479.3333333333333,673.0,1331.3333333333333,556.0,1114.6666666666667,2404.3333333333335,265.3333333333333,342.6666666666667,672.6666666666666,253.0,306.3333333333333,498.3333333333333,9.989471515019735,18.289066076278687,39.222370862960815,25.990525007247925,56.24677570660909,117.03733118375142
commrange_0018,0,0.999,0.2,1,True,False,True,20,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,286.8333333333333,370.4333333333334,715.3333333333334,282.3333333333333,355.93333333333334,616.9,483.3333333333333,563.3333333333334,1252.3333333333333,603.3333333333334,1132.3333333333333,2065.0,265.0,349.0,655.6666666666666,246.66666666666666,269.6666666666667,456.0,9.743383487065634,19.711991945902508,38.1137920220693,21.25548752148946,48.784450928370156,102.94324318567912
commrange_0019,0,0.999,0.2,1,True,False,True,30,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,288.96666666666664,356.26666666666665,689.6666666666666,274.90000000000003,342.5333333333333,585.4333333333333,477.6666666666667,619.6666666666666,1232.6666666666667,550.0,1037.3333333333333,1975.3333333333333,268.0,327.0,629.3333333333334,244.33333333333334,265.3333333333333,431.0,8.985930840174357,18.198225657145183,38.592659870783486,24.01379640897115,50.36865830421448,101.6680474281311
